t,total_pop
0,308888888.8888889
1,884444444.4444444
2,1983611111.1111112
3,2309722222.2222223
4,2919722222.2222223
5,1780833333.3333333
6,1972777777.7777777
7,2658055555.5555553
8,3012222222.2222223
9,2376944444.4444447
10,2715186411.4514284
11,2453333333.3333335
12,2115555555.5555556
13,1916111111.1111112
14,1895833333.3333333
15,3103055555.5555553
16,2101388888.8888888
17,3461388888.888889
18,3201388888.888889
19,2023888888.8888888
20,2162777777.7777777
21,2238333333.3333335
22,3213611111.111111
23,3124166666.6666665
24,2986666666.6666665
25,3070833333.3333335
26,2309166666.6666665
27,2297777777.7777777
28,2232777777.7777777
29,2226486486.4864864
30,2284285714.285714
